TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,PRCP
68,88,50,6.04,110,130,16.1,19.9,,0
77,86,66,8.5,240,240,21.9,32,,0.32
81,93,65,6.04,330,180,17,23,,0
77,92,59,4.47,10,10,16.1,21,,0
75,87,64,7.38,180,180,21.9,28,,0
79,87,63,7.61,290,320,18.1,28,,0
74,92,56,5.14,80,90,14.1,17,,0
75,91,65,4.47,160,340,18.1,21.9,,0.48
70,80,61,4.47,60,40,10.1,14.1,,0.02
69,77,56,5.59,100,60,13,19,,0
66,78,52,5.59,70,70,17,23,,0
69,81,57,3.8,140,140,14.1,17,,0.05
69,81,57,3.58,150,100,14.1,19,,0
71,86,54,4.92,130,130,15,19.9,,0
78,91,62,4.7,110,110,14.1,18.1,,0
80,95,65,7.38,180,180,19.9,23.9,,0
81,89,64,8.5,310,320,17,25.1,,0
72,86,60,8.05,320,300,17,23,,0
70,83,54,6.93,360,10,16.1,21.9,,0
66,84,48,4.47,100,110,16.1,19.9,,0
69,90,49,6.26,180,180,19.9,25.1,,0
78,97,60,5.59,20,20,18.1,21,,0
79,93,63,5.82,240,240,17,25.1,,0
75,79,67,7.83,290,240,14.1,21,,0.01
68,72,67,6.71,50,50,15,18.1,,0.58
70,83,61,4.92,80,310,13,19,,0
71,84,60,3.36,150,130,14.1,17,,0
74,83,65,5.82,130,150,16.1,21.9,,0.13
69,78,61,3.36,100,290,8.9,13,,0.13
72,87,59,3.58,120,350,15,23.9,,0.01
74,86,61,4.92,190,250,17,28,,0.07
72,82,63,8.28,180,180,21.9,29.1,,0.07
68,72,54,9.62,320,300,21,31.1,,0
62,77,48,5.82,120,180,13,21,,0
72,87,59,7.38,210,220,16.1,23,,0
71,82,56,8.28,180,170,19.9,25.1,,0.13
76,86,64,5.14,270,260,12.1,17,,0
70,82,60,4.47,110,270,14.1,19,,0
65,71,56,3.8,120,180,10.1,14.1,,0.08
72,83,60,5.37,340,270,14.1,19,,0
66,79,49,3.8,130,140,15,18.1,,0
71,87,59,5.37,330,330,18.1,25.9,,0.71
67,77,55,8.05,350,320,19.9,23.9,,0
64,72,51,7.61,360,360,19.9,25.1,,0
61,73,45,3.36,130,30,13,16.1,,0
59,74,44,4.25,140,150,14.1,17,,0
62,82,43,5.82,160,170,16.1,19.9,,0
69,86,50,6.71,200,180,17,25.1,,0
76,92,66,4.25,160,170,18.1,21,,0.27
74,85,70,4.25,100,110,15,19.9,,0.98
74,81,66,7.16,360,260,16.1,21.9,,0.14
68,78,53,5.37,110,90,13,17,,0
66,74,57,6.71,280,270,25.1,42.1,,0.13
61,74,51,5.14,230,220,16.1,19.9,,0
65,79,52,8.5,190,200,18.1,23.9,,0
64,76,53,7.16,320,280,15,19.9,,0.11
62,69,46,4.92,30,60,15,18.1,,0
56,71,44,3.58,150,130,15,19,,0
59,75,44,8.5,140,150,19.9,25.9,,0
70,81,61,4.92,220,230,16.1,23,,0.1
67,75,53,3.8,280,220,13,16.1,,0
65,85,50,5.82,230,230,18.1,25.1,,0.04
68,80,57,5.37,270,270,16.1,21.9,,0
65,77,53,2.46,190,200,8.9,13,,0
65,72,59,3.58,40,40,13,16.1,,0.29
62,65,44,6.93,50,50,16.1,19.9,,0
52,65,39,3.36,130,60,12.1,16.1,,0
54,71,39,7.61,150,160,18.1,23.9,,0
60,64,53,9.17,160,230,19.9,28,,0.75
55,62,50,7.38,210,220,21,27.1,,0.02
57,69,48,6.93,50,40,19.9,25.9,,0
61,65,57,12.08,50,50,21,31.1,,0
62,65,59,12.3,60,60,21,29.1,,0
60,61,57,6.49,80,70,13,18.1,,0.7
60,67,56,4.92,350,350,12.1,14.1,,0.05
59,66,54,4.92,100,130,12.1,14.1,,0.02
59,70,49,6.26,130,170,17,23,,0
63,74,56,8.28,110,160,17,21.9,,0.36
62,70,50,4.03,130,130,13,16.1,,0.08
68,80,53,10.51,200,260,21,29.1,,0.35
51,54,41,7.83,270,260,19.9,29.1,,0
46,54,32,5.59,10,10,16.1,19,,0
44,63,30,5.37,180,170,15,19,,0
52,70,39,6.49,180,180,17,21.9,,0
60,75,46,10.07,320,340,25.1,34,,0.25
47,52,39,4.47,290,310,14.1,21,,0.01
47,59,36,6.04,140,140,14.1,16.1,,0
54,66,40,10.29,210,200,21.9,29.1,,0
65,73,41,3.8,230,220,13,18.1,,0.15
58,71,40,9.17,170,140,25.1,32,,0.12
68,75,49,8.72,320,210,21.9,29.1,,0
56,69,40,3.8,290,280,13,21,,0
49,55,41,7.38,330,330,16.1,21.9,,0
46,49,40,8.28,330,10,19.9,25.1,,0.03
42,51,37,7.61,330,320,18.1,25.1,,0
45,58,36,5.59,340,340,18.1,23.9,,0.01
46,50,40,9.62,340,350,23.9,30,,0.01
42,47,27,6.26,340,340,17,23.9,,0
36,43,27,8.95,80,100,17,21.9,,0.06
40,42,27,7.16,80,80,17,23,,0.34
37,56,26,9.62,180,170,19.9,27.1,,0
56,62,48,6.93,320,280,15,23.9,,0
47,51,35,6.71,360,340,16.1,21,,0
40,53,29,8.72,160,160,21.9,30,,0
55,71,45,8.95,170,190,23.9,31.1,,0
47,54,35,1.12,10,10,6.9,6.9,,0.01
47,57,41,5.37,350,360,18.1,23,,0.01
45,57,34,6.71,270,270,15,19.9,,0
54,69,35,4.92,320,320,14.1,19,,0
46,67,30,3.36,200,190,10.1,13,,0
51,68,35,6.04,190,190,15,19,,0
51,55,40,9.17,350,340,25.1,33.1,,0.05
44,51,32,6.93,360,340,18.1,23.9,,0
51,71,41,11.41,260,260,21.9,34,,0
45,51,33,12.75,340,350,29.1,38.9,,0
38,53,28,9.4,240,240,21,30,,0
46,65,26,9.17,230,220,17,25.1,,0
50,59,34,4.7,120,250,10.1,16.1,,0
44,53,36,1.12,270,310,6.9,8.9,,0
47,56,29,4.25,330,290,15,19,,0.05
42,61,28,8.95,160,160,21.9,28,,0
55,68,43,9.17,180,200,21.9,29.1,,0
46,61,26,14.54,330,340,25.9,36.9,,0.11
28,30,22,16.55,330,330,29.1,40,,0.01
27,33,23,13.87,330,320,30,36.9,,0
29,35,19,6.71,340,340,18.1,23.9,,0
27,39,17,6.93,110,140,15,21.9,,0.56
37,39,36,3.58,120,120,14.1,21,,0.36
37,40,34,3.36,320,320,8.1,11,,0.08
36,42,32,5.37,270,250,14.1,19,,0.03
35,45,26,4.25,220,170,13,15,,0
41,49,32,13.42,140,150,25.9,38,,0.17
49,57,42,12.97,150,160,29.1,40,,0.27
47,54,39,5.37,170,170,14.1,19.9,,0.13
40,44,36,9.4,260,280,18.1,28,,0.04
36,39,34,9.17,290,300,15,23.9,,0.03
38,41,34,4.03,350,270,10.1,14.1,,0
36,40,32,3.8,170,170,16.1,19.9,,0.29
35,41,29,4.92,270,270,14.1,21,,0.04
34,42,25,7.16,150,130,21.9,28,,0
33,36,29,12.75,240,240,21.9,35.1,,0
29,32,25,10.96,310,300,19.9,31.1,,0.03
23,27,18,4.47,330,,12.1,,,0.01
22,24,15,5.82,270,240,14.1,19.9,,0.01
19,26,15,3.13,150,150,8.1,10.1,,0.1
27,32,23,5.37,230,300,14.1,21,,0.06
25,28,11,10.07,260,270,18.1,25.9,,0
13,18,8,12.97,270,240,23.9,33.1,,0.1
12,19,6,10.96,290,260,21,32,,0.01
15,21,12,8.95,190,220,15,21,,0.07
19,25,14,7.83,330,330,21,29.1,,0.3
14,17,5,9.17,320,310,21.9,30,,0
10,21,1,11.63,220,200,19.9,27.1,,0
23,34,16,14.99,240,240,25.9,36,,0
31,34,27,7.61,240,240,14.1,23,,0.08
34,40,30,7.83,240,230,14.1,19.9,,0
35,41,31,8.72,220,220,17,23.9,,0.04
34,38,27,5.59,340,330,14.1,17,,0.06
30,34,26,12.75,130,120,23.9,35.1,,0
37,49,32,16.11,260,260,28,44.1,,0.35
31,32,22,9.62,260,280,23,36,,0.1
24,34,20,9.17,180,160,21.9,25.9,,0.01
33,34,27,7.61,280,270,14.1,23,,0.03
26,28,23,8.05,310,290,17,25.9,,0.05
27,33,23,8.05,260,260,16.1,25.9,,0.23
30,40,18,5.82,230,220,18.1,25.1,,0.01
26,38,13,5.37,110,110,16.1,19.9,,0
35,37,33,5.82,280,280,10.1,14.1,,0.09
26,33,15,14.09,260,260,18.1,36.9,,0.07
15,18,5,10.29,240,270,18.1,27.1,,0
10,20,3,6.93,270,250,13,18.1,,0.03
9,16,-3,8.05,290,290,17,25.9,,0
10,17,0,7.61,190,330,14.1,21,,0.07
18,25,15,9.4,190,200,19.9,23.9,,0.02
27,43,24,14.09,240,230,28,40.9,,0.52
32,35,23,10.51,260,230,31.1,46.1,,0.24
24,24,14,7.16,290,290,17,27.1,,0.29
17,19,-7,4.92,290,280,16.1,25.9,,0
11,30,-4,3.8,250,240,14.1,19,,0
20,32,3,3.8,190,210,13,14.1,,0
26,40,17,3.8,240,230,10.1,16.1,,0
30,35,19,6.71,90,70,15,21,,0.28
35,42,33,6.04,220,210,14.1,19.9,,0
35,37,33,3.8,210,220,8.9,12.1,,0
33,34,31,4.92,150,120,12.1,14.1,,0
34,38,32,4.25,120,110,12.1,16.1,,0
38,44,35,1.34,110,130,6.9,8.1,,0
37,38,35,5.37,120,120,10.1,15,,0.18
36,37,34,2.46,310,300,6.9,10.1,,0.21
35,36,33,2.01,360,260,6.9,10.1,,0.14
34,37,29,9.4,320,280,19.9,29.1,,0.1
30,34,27,8.72,270,290,16.1,23,,0.03
29,31,20,9.17,310,310,18.1,25.9,,0.05
20,21,17,7.16,330,320,15,19,,0.1
18,22,13,6.26,320,320,15,19,,0.02
22,30,19,2.91,150,140,10.1,15,,0.19
26,30,17,7.38,320,300,19.9,30,,0.03
17,20,9,9.62,270,270,19.9,29.1,,0
13,20,-5,7.38,300,280,16.1,23.9,,0.07
18,28,10,8.95,200,190,16.1,23.9,,0
27,30,18,8.95,310,260,23,34,,0
22,30,15,2.91,70,70,8.1,10.1,,0
30,33,26,11.18,90,100,19.9,27.1,,0.37
23,26,14,8.5,300,310,18.1,30,,0
15,19,9,7.16,270,280,18.1,28,,0.01
16,26,11,8.72,170,180,21,25.1,,0.16
29,34,26,3.8,330,340,10.1,12.1,,0
31,36,26,7.83,300,310,23,36,,0.13
30,41,25,8.95,300,300,18.1,25.9,,0
34,39,28,8.05,300,280,15,25.1,,0.04
26,31,18,14.99,320,330,25.9,36.9,,0.02
19,28,9,4.03,330,320,15,21,,0.03
23,39,7,6.49,160,160,16.1,19.9,,0
39,58,21,5.82,240,240,16.1,23.9,,0
41,51,28,6.49,320,320,15,19.9,,0
34,39,26,9.84,130,130,19.9,25.9,,0
43,60,29,7.38,150,130,16.1,21.9,,0.05
43,61,34,5.82,200,200,17,21,,0
45,49,32,8.05,320,290,17,27.1,,0.01
33,34,30,11.18,60,60,21,32,,1.74
31,34,21,9.62,270,290,21.9,33.1,,0.04
26,36,21,10.96,210,230,21,31.1,,0
31,39,18,5.82,110,110,15,19,,0.01
35,41,25,4.7,140,140,15,19,,0.14
32,39,15,15.43,330,20,25.1,34,,0.7
16,24,8,7.38,330,320,16.1,23,,0.01
15,20,4,7.38,320,300,16.1,21,,0.01
13,21,-1,6.04,110,110,16.1,21,,0
21,34,8,12.75,150,150,30,36,,0
37,48,34,7.61,170,170,16.1,21,,0
49,58,43,15.66,230,230,32,53,,0.07
38,42,23,15.21,270,270,29.1,40,,0.01
28,36,23,11.18,280,290,18.1,28,,0
18,23,11,13.87,330,330,25.9,36,,0.04
14,20,10,9.62,320,280,17,25.9,,0.06
17,24,7,5.82,360,20,16.1,21.9,,0.01
17,22,11,7.83,40,40,19.9,23.9,,0.11
12,20,-6,12.75,340,330,23.9,32,,0
20,30,14,15.21,340,340,28,35.1,,0
27,41,17,6.93,340,330,18.1,25.9,,0
28,43,13,6.71,170,180,17,23,,0.06
33,36,32,4.03,110,150,8.9,13,,0.03
37,49,31,5.82,100,100,14.1,17,,0
40,54,28,5.59,360,220,14.1,18.1,,0.02
33,42,22,12.75,340,330,29.1,40,,0
24,34,15,7.83,360,350,21,27.1,,0
25,41,11,7.83,160,160,19.9,23.9,,0.01
35,40,32,6.04,130,130,16.1,21,,0.58
34,37,32,10.96,90,50,18.1,23,,0.03
35,39,33,8.5,120,100,16.1,23,,0.58
40,43,37,4.7,330,320,12.1,15,,0
41,51,30,6.71,30,10,15,18.1,,0
36,44,27,6.49,50,40,15,19,,0
36,40,33,12.75,100,100,21,27.1,,0.4
34,36,30,10.51,70,60,19.9,27.1,,0.1
39,59,24,3.8,320,320,14.1,19.9,,0
45,57,34,4.7,130,140,17,21.9,,0
44,51,39,8.28,130,70,21.9,25.9,,0.44
41,46,39,12.75,340,330,23,31.1,,0.56
40,47,28,5.59,40,40,19.9,25.1,,0.03
38,40,34,21.03,10,10,35.1,46.1,,0.5
38,50,31,14.99,330,340,28,36,,0
43,61,24,6.71,100,100,15,18.1,,0
61,77,50,10.51,190,210,21.9,29.1,,0.04
55,64,35,9.17,10,220,21,23.9,,0.14
37,41,34,6.93,40,40,15,19,,0.16
40,53,29,6.93,350,280,19.9,25.1,,0
41,54,27,4.03,130,100,14.1,19.9,,0
41,55,26,6.04,110,100,16.1,21.9,,0
52,77,40,7.61,330,340,21,27.1,,0.76
57,63,41,7.38,320,310,25.1,36,,0.8
41,44,28,7.16,350,10,15,19.9,,0
36,52,25,9.84,160,160,23,29.1,,0
53,60,41,11.18,360,180,23,29.1,,0
40,42,37,11.41,90,110,21.9,30,,0.57
42,48,39,11.41,340,340,21.9,28,,0
46,62,30,5.59,150,340,13,18.1,,0
47,56,34,9.84,350,340,21.9,28,,0
41,48,31,8.95,90,100,18.1,25.1,,0
46,59,38,8.95,120,110,18.1,29.1,,0
52,69,44,9.62,130,140,23,33.1,,0
63,77,44,14.09,170,180,35.1,42.1,,0
47,62,40,10.07,50,230,18.1,27.1,,0
43,51,37,10.29,10,340,21,28,,0
39,46,35,14.76,60,80,21.9,31.1,,0.85
42,55,37,7.16,90,100,17,23,,0.69
45,47,38,7.83,270,270,18.1,25.9,,0.11
45,59,35,6.26,100,130,15,19,,0
46,59,33,5.59,110,90,15,21.9,,0
45,58,33,11.41,10,340,21,29.1,,0
48,59,39,16.55,340,330,29.1,40,,0
45,51,36,14.54,330,340,25.1,34,,0
42,56,30,9.17,320,340,21,30,,0
43,55,29,6.49,120,90,14.1,17,,0
47,57,38,8.5,130,100,19.9,30,,0
51,62,37,5.59,100,110,15,19,,0
49,63,33,4.92,120,100,14.1,18.1,,0
53,65,38,4.7,250,230,14.1,19.9,,0
53,63,43,10.74,350,330,23.9,32,,0
53,67,35,5.59,100,100,16.1,21.9,,0
56,70,50,6.26,110,140,17,21.9,,0.05
71,89,53,9.17,220,210,23,31.1,,0
71,78,42,11.41,240,270,25.1,45,,0.15
46,54,37,9.62,360,360,21,25.1,,0
46,54,35,12.3,110,100,18.1,27.1,,0
52,67,46,6.93,100,100,17,23,,0.35
55,63,48,9.62,350,260,19.9,27.1,,0
54,66,38,3.36,120,80,13,17,,0.02
54,64,47,8.05,40,30,16.1,21.9,,0
55,57,51,10.74,60,50,19.9,25.9,,0.38
58,70,49,6.26,10,30,12.1,16.1,,0.02
60,73,45,5.59,150,100,15,19.9,,0
62,75,54,4.92,160,320,19.9,25.1,,0.3
61,73,49,5.82,260,250,21,33.1,,0.03
60,69,50,7.83,220,210,21,25.9,,0.02
56,59,44,7.38,260,250,16.1,23.9,,0.02
53,66,39,7.83,270,280,21,34,,0
56,71,38,3.8,100,350,13,17,,0
57,68,43,8.5,130,140,18.1,23.9,,0.2
60,72,50,8.95,360,10,21,25.1,,0.22
60,68,53,10.51,20,20,28,36,,0
61,71,51,9.84,10,360,21.9,30,,0
63,77,46,3.58,110,110,14.1,18.1,,0
62,79,42,3.8,130,130,17,19.9,,0
63,72,52,3.13,130,110,13,19,,0.03
67,92,47,10.29,210,230,25.9,38.9,,0
80,88,68,8.95,230,240,19.9,35.1,,0
74,89,67,6.26,320,330,23,35.1,,0
69,76,53,6.49,60,70,16.1,21.9,,0.08
62,70,51,9.62,120,130,25.1,31.1,,0.05
65,73,58,5.82,330,310,16.1,21.9,,0.65
67,83,55,5.37,250,230,17,30,,0.29
68,83,62,5.59,180,180,16.1,23,,0.07
70,80,61,8.95,220,220,19.9,35.1,,0.82
63,73,58,4.92,80,280,13,18.1,,0.64
61,69,54,5.14,270,270,16.1,25.1,,0.12
62,73,53,5.14,120,110,14.1,18.1,,0
63,79,51,4.47,190,250,17,25.1,,0.35
71,79,60,6.26,360,360,18.1,23,,0.21
64,74,54,6.26,340,350,16.1,19.9,,0.51
58,66,53,4.25,360,350,13,18.1,,0.92
57,63,50,4.25,320,320,16.1,21.9,,0.71
59,72,48,6.49,280,280,14.1,21,,0
62,77,48,8.28,220,220,21,27.1,,0.08
68,83,60,7.38,220,220,19.9,25.9,,0.45
72,81,60,5.59,240,230,17,23.9,,0
65,71,58,6.71,270,280,18.1,27.1,,0.01
65,78,54,5.59,240,240,21,31.1,,0
65,79,53,4.47,130,130,10.1,15,,0
65,78,49,4.7,100,110,15,19,,0
69,87,51,5.37,230,180,13,21.9,,0
74,89,63,6.26,330,320,28,38,,0.03
70,81,61,8.05,360,360,21.9,25.9,,0.12
67,79,55,6.93,280,330,15,23,,0
69,79,62,5.14,130,120,13,16.1,,0.24
67,79,57,3.8,100,170,13,16.1,,0.01
72,83,62,4.25,140,150,16.1,21.9,,0
67,68,60,8.05,80,90,14.1,18.1,,0.01
61,62,60,7.61,80,70,16.1,23,,0.33
63,69,61,6.49,320,320,14.1,19.9,,0.01
69,85,55,5.14,240,220,17,25.9,,0
67,72,58,6.93,360,350,17,19.9,,0
65,79,52,4.7,140,150,13,17,,0
69,89,51,5.14,200,210,16.1,21,,0
77,86,59,5.82,320,20,15,19.9,,0
70,84,58,4.25,70,70,14.1,16.1,,0
72,88,59,4.03,90,100,14.1,15,,0
69,75,62,4.7,140,130,13,16.1,,0
68,78,59,7.61,10,10,23.9,28,,0.6
65,76,55,10.74,10,10,19.9,25.9,,0.09
65,78,50,6.04,110,130,16.1,19.9,,0
66,72,61,6.49,180,190,13,19,,0.48
71,79,62,5.14,20,30,14.1,19,,0.08
67,74,57,6.49,110,90,16.1,23.9,,0
68,84,54,4.47,340,150,13,19,,0
71,86,55,4.25,320,250,13,18.1,,0
74,87,62,4.25,110,110,14.1,16.1,,0
74,87,60,4.47,240,250,14.1,18.1,,0
70,80,60,3.8,30,30,15,17,,0.02
66,71,60,8.05,130,120,17,21.9,,0.26
68,76,57,8.5,200,280,19.9,23.9,,0.08
63,73,50,7.61,320,320,23,32,,0.02
62,78,49,3.58,80,90,17,21,,0.2
64,74,56,5.37,350,360,19.9,25.1,,0
68,84,52,5.37,270,330,16.1,25.1,,0
68,80,57,3.58,120,90,15,19,,0.16
69,81,58,4.7,200,190,16.1,21,,0
70,81,63,5.82,330,320,21,27.1,,0
67,78,52,7.61,10,10,18.1,21.9,,0
66,83,53,4.03,50,280,12.1,18.1,,0
65,74,56,3.8,130,130,21.9,25.9,,1.24
67,79,59,5.37,350,350,14.1,18.1,,0
65,73,55,6.71,110,100,14.1,18.1,,0
67,72,65,8.95,130,130,19.9,23.9,,1.58
69,72,62,9.62,280,280,18.1,27.1,,0.01
67,79,59,5.82,330,330,15,21.9,,0
69,85,56,4.92,220,220,14.1,18.1,,0
74,86,67,5.14,120,120,13,15,,0
72,77,57,8.28,320,310,21.9,33.1,,0.07
61,69,52,8.5,320,320,19.9,25.9,,0
58,67,47,6.71,20,350,15,21.9,,0
57,71,44,2.46,360,10,12.1,15,,0
56,72,40,2.91,130,110,14.1,17,,0
58,71,47,4.25,140,130,16.1,19.9,,0.01
64,68,59,5.82,100,100,13,16.1,,0.06
66,73,62,6.71,130,130,17,21.9,,0
67,80,59,6.93,360,10,19.9,23,,0
59,64,43,6.93,20,40,17,21.9,,0
51,64,36,3.13,130,30,14.1,18.1,,0
51,70,33,5.14,130,100,16.1,19.9,,0
62,78,50,6.04,290,320,15,23,,0
64,69,51,7.16,350,250,19.9,27.1,,0.33
56,65,47,4.92,320,320,19.9,29.1,,0.27
53,64,41,4.03,360,10,15,18.1,,0.24
55,63,50,6.49,330,330,15,21,,0.34
54,61,42,5.82,350,360,16.1,21.9,,0.3
52,65,41,2.91,120,90,10.1,14.1,,0
51,66,37,3.58,110,100,13,17,,0
56,74,39,4.25,200,220,13,17,,0
61,78,46,2.68,100,100,12.1,17,,0
62,79,48,3.58,110,120,14.1,17,,0
62,79,47,2.01,110,110,10.1,12.1,,0
67,83,52,5.82,190,210,14.1,17,,0
70,84,55,6.26,210,190,16.1,21,,0
71,86,58,7.16,280,290,21,29.1,,0.83
63,71,48,5.59,350,340,14.1,17,,0
57,69,45,5.14,100,100,15,19,,0
68,77,61,4.92,110,110,14.1,16.1,,0
71,86,62,5.59,20,30,18.1,19.9,,0.01
74,92,60,5.59,320,330,28,38.9,,0.05
76,93,62,3.58,210,270,10.1,15,,0
76,91,62,4.03,150,160,13,18.1,,0
73,88,59,3.13,110,110,12.1,13,,0
72,89,59,2.91,100,110,13,17,,0
66,70,50,8.5,290,320,18.1,25.9,,0.1
55,67,45,5.82,270,270,14.1,18.1,,0
55,61,43,7.83,350,340,23.9,30,,0.53
48,61,34,2.24,110,110,12.1,14.1,,0
48,65,33,4.25,140,140,16.1,19.9,,0
55,73,41,6.71,130,120,18.1,23,,0
64,81,50,10.07,230,230,19.9,25.9,,0
68,73,44,7.16,290,300,13,23,,0.21
54,66,45,5.59,270,250,15,21.9,,0.01
58,66,53,4.03,130,120,10.1,13,,0.04
65,78,59,12.08,190,190,23,30,,0.38
67,77,49,6.93,180,260,15,23,,0
59,78,43,3.36,350,10,13,19,,0
54,62,47,7.61,360,360,16.1,23,,0
52,58,39,9.62,60,100,21,27.1,,0
50,58,42,6.93,110,100,16.1,21.9,,0
58,66,54,4.03,230,250,13,17,,0.02
57,61,47,6.26,180,90,14.1,21,,0.25
55,68,40,12.3,330,330,23,30,,0.72
44,55,33,5.59,200,190,14.1,19,,0
53,70,40,7.16,250,260,18.1,25.9,,0
54,71,39,9.62,220,220,18.1,29.1,,0
60,65,50,8.95,250,270,18.1,25.9,,0
57,78,36,5.82,250,250,18.1,25.9,,0
57,76,41,6.71,180,170,15,19,,0
66,78,53,9.17,160,170,25.1,29.1,,0.09
54,60,51,7.61,130,160,23.9,36,,3.16
51,57,39,14.54,210,200,23.9,35.1,,0.26
40,47,34,8.05,320,250,17,23.9,,0.05
38,47,29,4.25,120,120,10.1,15,,0
47,52,42,10.51,100,100,23,34,,0.04
43,47,38,7.83,210,210,16.1,21,,0
39,48,28,3.58,270,330,10.1,16.1,,0
37,47,27,5.82,240,320,15,25.1,,0.04
38,45,34,7.83,240,280,17,23.9,,0.05
37,44,30,6.04,160,160,17,21.9,,0
40,47,36,3.13,230,230,10.1,13,,0.15
42,46,32,6.93,330,330,21,29.1,,0
37,45,32,6.26,130,90,17,27.1,,0.22
46,52,39,7.16,320,310,14.1,19.9,,0.04
39,41,30,6.93,330,330,21,27.1,,0
34,42,22,3.8,330,330,15,19,,0
31,45,19,6.04,240,240,15,19,,0
35,38,18,11.41,320,320,25.1,38,,0.04
18,25,9,6.49,330,320,21,29.1,,0.05
20,32,9,4.7,180,180,21,25.9,,0.01
32,36,29,3.36,220,220,12.1,15,,0
35,39,33,2.24,240,230,8.1,10.1,,0
35,45,26,5.14,170,170,15,18.1,,0.01
39,42,35,10.07,160,160,18.1,25.9,,1.46
36,41,28,10.96,320,280,21.9,29.1,,0.06
31,37,28,7.83,150,160,19.9,23.9,,0.44
37,39,34,6.71,330,320,17,23,,0.52
33,36,28,10.51,320,320,23,30,,0.01
32,45,28,7.61,200,210,15,21.9,,0
41,49,29,12.53,320,310,21.9,31.1,,0
29,34,24,6.49,310,290,15,23,,0.01
32,39,26,5.82,240,220,15,19.9,,0
39,57,26,10.51,210,210,21,29.1,,0
43,52,29,10.74,310,330,23.9,38,,0.04
32,43,26,8.95,310,320,21,31.1,,0
33,38,30,7.38,330,320,15,21.9,,0
44,58,36,10.96,230,230,18.1,27.1,,0.02
38,41,23,8.72,320,320,21.9,32,,0
34,43,24,8.5,240,240,18.1,25.1,,0.08
39,46,25,4.7,260,260,13,17,,0
40,50,26,3.58,190,180,8.9,12.1,,0
35,42,25,3.58,150,220,8.9,12.1,,0
39,54,32,12.97,190,160,28,36,,0.12
46,56,25,19.01,220,240,30,50.1,,0.07
26,28,24,12.53,240,240,23,36,,0.01
24,27,22,8.5,220,220,15,21.9,,0.03
24,28,21,8.72,220,250,21,29.1,,0.05
22,28,13,5.82,360,310,16.1,23.9,,0.07
22,28,16,8.5,320,330,18.1,23.9,,0.02
18,24,16,6.71,160,290,12.1,17,,0.14
15,25,8,14.09,330,330,28,38.9,,0.01
11,17,-1,5.59,10,10,17,21,,0.03
14,21,5,6.26,330,320,15,19.9,,0
21,27,18,6.93,210,260,14.1,18.1,,0.06
17,21,9,6.26,10,360,15,18.1,,0
19,29,14,3.8,160,150,10.1,13,,0
29,36,28,4.92,220,230,13,18.1,,0
38,43,30,11.41,260,250,23,35.1,,0
28,30,25,8.95,310,280,21,31.1,,0
24,29,21,6.71,50,70,15,19.9,,0.15
30,32,29,6.26,90,80,14.1,19,,0.3
28,31,19,6.49,310,290,13,19,,0.04
17,21,0,4.25,210,210,12.1,14.1,,0.04
17,20,6,8.95,260,270,23,32,,0.08
4,10,-9,5.59,270,260,14.1,19.9,,0.02
0,10,-16,4.25,330,330,13,17,,0
-5,15,-19,2.01,240,250,8.1,8.9,,0
9,17,0,4.03,240,240,12.1,15,,0
8,14,-4,5.82,10,10,18.1,19.9,,0
4,7,-10,7.16,340,330,17,23,449,0
3,15,-12,8.5,290,300,18.1,27.1,,0
16,23,12,12.08,250,260,21.9,32,,0
16,21,7,10.07,310,290,17,27.1,,0.02
4,7,-2,11.41,310,320,21,28,,0.04
-2,1,-8,11.18,330,330,21,29.1,,0.06
-2,3,-16,6.49,340,340,17,21.9,,0.02
7,28,-8,10.74,190,190,19.9,27.1,,0
29,32,26,7.83,340,310,21.9,32,,0.08
27,30,14,5.82,310,320,15,21,,0
26,45,17,9.84,160,170,18.1,23.9,,0.01
47,51,37,9.17,320,310,15,21,,0.36
25,37,11,16.78,330,340,28,36.9,,0.01
9,12,0,9.17,350,350,19.9,25.1,,0.01
9,20,-3,7.61,180,180,17,19.9,,0
17,21,13,10.29,130,110,21,28,,0.25
17,20,2,7.83,40,40,18.1,21.9,,0.1
12,25,-7,9.17,230,250,21,31.1,,0.01
24,32,19,7.16,240,230,10.1,15,,0
32,41,25,9.17,240,250,21.9,29.1,,0
39,43,28,5.37,320,250,14.1,21.9,,0
33,43,25,2.68,100,110,8.1,11,,0
33,36,32,11.18,80,80,25.1,34,,0.85
28,35,19,12.97,330,330,23.9,31.1,,0.26
18,22,9,4.92,340,350,19.9,25.1,,0.02
19,29,7,4.7,180,200,10.1,14.1,,0
30,46,21,10.29,210,220,17,25.1,,0
43,47,34,11.18,260,260,21,32,,0
30,35,19,7.16,10,320,15,19,,0
18,23,12,10.51,10,320,17,21,,0
14,20,11,6.49,160,,10.1,,,0
24,35,20,11.18,170,170,23,29.1,,0.05
22,30,10,11.18,340,310,21.9,29.1,,0.05
8,16,-1,7.83,340,340,21,27.1,,0
13,23,9,4.92,200,210,12.1,14.1,,0.14
17,23,-2,11.63,10,330,21,25.1,,0.11
7,19,-13,7.83,240,240,18.1,23.9,,0
11,20,-7,3.58,240,300,15,21.9,,0
8,21,-4,4.25,330,330,15,19,,0.02
9,21,-9,5.82,270,270,17,25.9,,0.01
11,24,-3,2.91,10,10,15,17,,0.03
16,25,-1,2.24,100,270,8.9,11,,0
